Stock,PE,Marketcap,Beta,Sector
A,19.1,21254246550,1.0989866149235161,Health Technology
AA,-31.86,3931168800,1.5800717405314109,Non-Energy Minerals
AAAU,,,0.04396517504631939,Miscellaneous
AABA,-3.72,35673742400,1.272979251052763,Miscellaneous
AAC,-0.3,22774330,1.6697573440366087,Health Services
AADR,,,1.0025187354545197,Miscellaneous
AAL,8.9,12112857050,1.5025359141080976,Transportation
AAMC,-3.63,27076560,0.7067075625816667,Finance
AAME,6.17,49350350,0.1631578391480953,Finance
AAN,18.18,3604477020,0.8988623827807635,Finance
AAOI,-11.71,172680400,1.6140963019663073,Electronic Technology
AAON,48.12,2365499850,1.1294442663971365,Producer Manufacturing
AAP,26.38,11119235000,0.6370874259340883,Retail Trade
AAPL,14.6,805511075600,1.497131284618578,Electronic Technology
AAT,67.8,2178992340,0.48341206332326875,Finance
AAU,-19,51360902,0.492692420462287,Non-Energy Minerals
AAWW,3.91,914902280,1.6093276045712683,Transportation
AAXJ,,,0.9277326041356507,Miscellaneous
AAXN,170.14,3948501060,1.3057580452247008,Electronic Technology
AB,11.39,2582886860,0.9300655549985185,Finance
ABB,18.11,,0.9210290015454874,Producer Manufacturing
ABBV,21.98,113402694300,0.879518867963937,Health Technology
ABC,17.98,16364381220,0.7987490415959102,Distribution Services
ABCB,12.3,1679274650,1.0960716225414227,Finance
ABDC,27.14,106484520,0.402600619414388,Finance
ABEO,-5.66,267441280,1.841058691791426,Health Technology
ABEOW,,,-0.1555225205559644,Health Technology
ABEV,23.84,,0.6716397638756343,Consumer Non-Durables
ABG,8.65,1448040420,0.8150506947178562,Retail Trade
ABIL,-0.35,9051900,0.5336354417938118,Miscellaneous
ABIO,-0.68,6369000,0.5241897017675541,Health Technology
ABM,28.95,2401163750,1.0155138876536298,Commercial Services
ABMD,45.37,11819140000,1.6392109521524472,Health Technology
ABR,8.97,1171321120,0.5372782542390924,Finance
ABT,51.28,134307023400,1.037700851816239,Health Technology
ABTX,13.44,692728860,0.8900025686016584,Finance
ABUS,-1.38,103467000,2.3502032056085036,Health Technology
AC,-66.7,841486681,0.3127233380684848,Finance
ACA,20.32,1638547610,0.18249418989964242,Producer Manufacturing
ACAD,-11.44,3458542340,1.995324249132493,Health Technology
ACAM,,84093750,-0.4389763617303018,Finance
ACAMU,,,,Finance
ACAMW,,,,Finance
ACB,-75.67,7717891500,-0.20295811287149065,Health Technology
ACBI,14.73,394341440,0.671971334335683,Finance
ACC,53.43,6357883200,0.3003391306323506,Finance
ACCO,8.01,750354150,0.867436219745499,Producer Manufacturing
ACER,-6.6,180456430,1.3585825907758962,Health Technology
ACES,,,0.01973738309737279,Miscellaneous
ACGL,13.63,13902937290,0.7666691746968416,Finance
ACGLO,,9877021380,0.17494675272903693,Finance
ACGLP,,9465142320,0.1739391607387613,Finance
ACH,36.38,,1.4395046061610184,Non-Energy Minerals
ACHC,-14.26,2857946220,0.9865838195910308,Health Services
ACHN,-5.66,385655500,2.1621738801516845,Health Technology
ACHV,-1.06,28905860,1.0955794747623993,Health Technology
ACIA,89.77,1891913400,1.447670743995103,Electronic Technology
ACIM,,,0.8436731569194191,Miscellaneous
ACIU,16.01,341863720,0.3273733795567667,Health Technology
ACIW,58.56,3478311980,1.3141150329430569,Technology Services
ACLS,12.58,488529860,1.6062087515631371,Electronic Technology
ACM,18.38,5019273600,1.081423727038667,Industrial Services
